Grouped;Currency;Date;Account;Account Mapped;Amount;Tax Amount;Tax Code;Tax Code Mapped;Tax Percentage
2025-10-04;EUR;2025-10-04;CARD_RECEIVABLE;2010;-1724,27;0;;;
2025-10-04;EUR;2025-10-04;CASH;1400;0,5;0;;;
2025-10-04;EUR;2025-10-04;CASH_DIFFERENCE;6510;-0,5;0;;;
2025-10-04;EUR;2025-10-04;ECOM_PAYMENT;1800;-352,5;0;;;
2025-10-04;EUR;2025-10-04;ECOM_PAYMENT_RECEIVABLE;2010;-285;0;;;
2025-10-04;EUR;2025-10-04;GIFTCARD_PENDING;2031;-200;0;;;
2025-10-04;EUR;2025-10-04;PENDING_CASH_EXPENSE;;-90;0;;;
2025-10-04;EUR;2025-10-04;witte wijn per glas;4040;361,5;62,739668;VAT_STANDARD;VH;21
2025-10-04;EUR;2025-10-04;Witte wijn per fles;4040;107;18,570248;VAT_STANDARD;VH;21
2025-10-04;EUR;2025-10-04;Warme dranken;4070;44;7,636364;VAT_STANDARD;VH;21
2025-10-04;EUR;2025-10-04;Warme dranken;4070;87,25;7,204128;VAT_REDUCED;VL;9
2025-10-04;EUR;2025-10-04;Sterk;4060;62,5;10,847107;VAT_STANDARD;VH;21
2025-10-04;EUR;2025-10-04;Rose wijn per glas;4040;42;7,289254;VAT_STANDARD;VH;21
2025-10-04;EUR;2025-10-04;rode wijn per glas;4040;104,5;18,136362;VAT_STANDARD;VH;21
2025-10-04;EUR;2025-10-04;Mouserend per glas;4040;42;7,289256;VAT_STANDARD;VH;21
2025-10-04;EUR;2025-10-04;Menus;4000;885,87;73,145223;VAT_REDUCED;VL;9
2025-10-04;EUR;2025-10-04;Lunch;4000;245,5;20,270643;VAT_REDUCED;VL;9
2025-10-04;EUR;2025-10-04;Lekkere Bites;4000;242;19,981648;VAT_REDUCED;VL;9
2025-10-04;EUR;2025-10-04;Koude dranken;4050;98,15;8,104136;VAT_REDUCED;VL;9
2025-10-04;EUR;2025-10-04;Cocktails;4060;20;3,471074;VAT_STANDARD;VH;21
2025-10-04;EUR;2025-10-04;bieren;4030;226,5;39,309915;VAT_STANDARD;VH;21
2025-10-04;EUR;2025-10-04;bieren;4030;28;2,311928;VAT_REDUCED;VL;9
2025-10-04;EUR;2025-10-04;a la carte;4000;12;0,990826;VAT_REDUCED;VL;9
2025-10-04;EUR;2025-10-04;TIPS_PAYABLE;1803;130,5;0;;;
2025-10-05;EUR;2025-10-05;CARD_RECEIVABLE;2010;-696,2;0;;;
2025-10-05;EUR;2025-10-05;CASH;1400;-100,5;0;;;
2025-10-05;EUR;2025-10-05;CASH_DIFFERENCE;6510;-268,5;0;;;
2025-10-05;EUR;2025-10-05;witte wijn per glas;4040;38;6,59504;VAT_STANDARD;VH;21
2025-10-05;EUR;2025-10-05;Witte wijn per fles;4040;69;11,975207;VAT_STANDARD;VH;21
2025-10-05;EUR;2025-10-05;Wijn arrangement;4040;28;4,859504;VAT_STANDARD;VH;21
2025-10-05;EUR;2025-10-05;Warme dranken;4070;42;3,467888;VAT_REDUCED;VL;9
2025-10-05;EUR;2025-10-05;Rose wijn per glas;4040;6;1,041322;VAT_STANDARD;VH;21
2025-10-05;EUR;2025-10-05;rode wijn per glas;4040;32;5,553718;VAT_STANDARD;VH;21
2025-10-05;EUR;2025-10-05;Mouserend per glas;4040;22;3,818182;VAT_STANDARD;VH;21
2025-10-05;EUR;2025-10-05;Menus;4000;104;8,587156;VAT_REDUCED;VL;9
2025-10-05;EUR;2025-10-05;Lunch;4000;299;24,688074;VAT_REDUCED;VL;9
2025-10-05;EUR;2025-10-05;Lekkere Bites;4000;188;15,522933;VAT_REDUCED;VL;9
2025-10-05;EUR;2025-10-05;Koude dranken;4050;16,2;1,337616;VAT_REDUCED;VL;9
2025-10-05;EUR;2025-10-05;bieren;4030;5,5;0,954545;VAT_STANDARD;VH;21
2025-10-05;EUR;2025-10-05;a la carte;4000;167,5;13,830277;VAT_REDUCED;VL;9
2025-10-05;EUR;2025-10-05;TIPS_PAYABLE;1803;48;0;;;
2025-10-06;EUR;2025-10-06;CARD_RECEIVABLE;2010;-877,2;0;;;
2025-10-06;EUR;2025-10-06;CASH;1400;100;0;;;
2025-10-06;EUR;2025-10-06;DEPOSITED_CASH_RECEIVABLE;1404;-200;0;;;
2025-10-06;EUR;2025-10-06;ECOM_PAYMENT;1800;150;0;;;
2025-10-06;EUR;2025-10-06;ECOM_PAYMENT_RECEIVABLE;2010;-150;0;;;
2025-10-06;EUR;2025-10-06;witte wijn per glas;4040;22;3,818181;VAT_STANDARD;VH;21
2025-10-06;EUR;2025-10-06;Witte wijn per fles;4040;130;22,561984;VAT_STANDARD;VH;21
2025-10-06;EUR;2025-10-06;Wijn arrangement;4040;52;9,024794;VAT_STANDARD;VH;21
2025-10-06;EUR;2025-10-06;Warme dranken;4070;63;5,201834;VAT_REDUCED;VL;9
2025-10-06;EUR;2025-10-06;rode wijn per glas;4040;14,5;2,516529;VAT_STANDARD;VH;21
2025-10-06;EUR;2025-10-06;Mouserend per glas;4040;33;5,727273;VAT_STANDARD;VH;21
2025-10-06;EUR;2025-10-06;Menus;4000;124;10,238532;VAT_REDUCED;VL;9
2025-10-06;EUR;2025-10-06;Lunch;4000;246,5;20,353212;VAT_REDUCED;VL;9
2025-10-06;EUR;2025-10-06;Lekkere Bites;4000;178;14,697246;VAT_REDUCED;VL;9
2025-10-06;EUR;2025-10-06;Koude dranken;4050;13,2;1,089909;VAT_REDUCED;VL;9
2025-10-06;EUR;2025-10-06;bieren;4030;3,5;0,288991;VAT_REDUCED;VL;9
2025-10-06;EUR;2025-10-06;a la carte;4000;38;3,137614;VAT_REDUCED;VL;9
2025-10-06;EUR;2025-10-06;TIPS_PAYABLE;1803;59,5;0;;;
2025-10-09;EUR;2025-10-09;CARD_RECEIVABLE;2010;-3303;0;;;
2025-10-09;EUR;2025-10-09;CASH;1400;1,5;0;;;
2025-10-09;EUR;2025-10-09;CASH_DIFFERENCE;6510;10;0;;;
2025-10-09;EUR;2025-10-09;DEPOSITED_CASH_RECEIVABLE;1404;-95;0;;;
2025-10-09;EUR;2025-10-09;witte wijn per glas;4040;184;31,933878;VAT_STANDARD;VH;21
2025-10-09;EUR;2025-10-09;Witte wijn per fles;4040;49;8,504132;VAT_STANDARD;VH;21
2025-10-09;EUR;2025-10-09;Wijn arrangement;4040;34;5,900826;VAT_STANDARD;VH;21
2025-10-09;EUR;2025-10-09;Warme dranken;4070;110,5;9,12385;VAT_REDUCED;VL;9
2025-10-09;EUR;2025-10-09;Sterk;4060;25,4;4,408264;VAT_STANDARD;VH;21
2025-10-09;EUR;2025-10-09;Rose wijn per glas;4040;12;2,082644;VAT_STANDARD;VH;21
2025-10-09;EUR;2025-10-09;rode wijn per glas;4040;130;22,561983;VAT_STANDARD;VH;21
2025-10-09;EUR;2025-10-09;Rode wijn per fles;4040;35;6,07438;VAT_STANDARD;VH;21
2025-10-09;EUR;2025-10-09;Mouserend per glas;4040;44;7,636364;VAT_STANDARD;VH;21
2025-10-09;EUR;2025-10-09;Menus;4000;956;78,935778;VAT_REDUCED;VL;9
2025-10-09;EUR;2025-10-09;Lunch;4000;383;31,623858;VAT_REDUCED;VL;9
2025-10-09;EUR;2025-10-09;Lekkere Bites;4000;660;54,495406;VAT_REDUCED;VL;9
2025-10-09;EUR;2025-10-09;Koude dranken;4050;103,3;8,529364;VAT_REDUCED;VL;9
2025-10-09;EUR;2025-10-09;bieren;4030;27,5;4,772725;VAT_STANDARD;VH;21
2025-10-09;EUR;2025-10-09;bieren;4030;41,5;3,426607;VAT_REDUCED;VL;9
2025-10-09;EUR;2025-10-09;a la carte;4000;405;33,440372;VAT_REDUCED;VL;9
2025-10-09;EUR;2025-10-09;TIPS_PAYABLE;1803;186,3;0;;;
2025-10-10;EUR;2025-10-10;ACCOUNTS_RECEIVABLE_PENDING;1002;-38;0;;;
2025-10-10;EUR;2025-10-10;CARD_RECEIVABLE;2010;-3772;0;;;
2025-10-10;EUR;2025-10-10;CASH;1400;-1;0;;;
2025-10-10;EUR;2025-10-10;CASH_DIFFERENCE;6510;10;0;;;
2025-10-10;EUR;2025-10-10;DEPOSITED_CASH_RECEIVABLE;1404;-170;0;;;
2025-10-10;EUR;2025-10-10;GIFTCARD_PENDING;2031;-450;0;;;
2025-10-10;EUR;2025-10-10;witte wijn per glas;4040;82;14,231403;VAT_STANDARD;VH;21
2025-10-10;EUR;2025-10-10;Witte wijn per fles;4040;268;46,512397;VAT_STANDARD;VH;21
2025-10-10;EUR;2025-10-10;Wijn arrangement;4040;112;19,438016;VAT_STANDARD;VH;21
2025-10-10;EUR;2025-10-10;Warme dranken;4070;344,5;28,444954;VAT_REDUCED;VL;9
2025-10-10;EUR;2025-10-10;Versterkte  wijn per glas;4040;35;6,07438;VAT_STANDARD;VH;21
2025-10-10;EUR;2025-10-10;Sterk;4060;21;3,644628;VAT_STANDARD;VH;21
2025-10-10;EUR;2025-10-10;Rose wijn per fles;4040;49;8,504132;VAT_STANDARD;VH;21
2025-10-10;EUR;2025-10-10;rode wijn per glas;4040;113;19,611568;VAT_STANDARD;VH;21
2025-10-10;EUR;2025-10-10;Rode wijn per fles;4040;110;19,090909;VAT_STANDARD;VH;21
2025-10-10;EUR;2025-10-10;Open prijs;4000;78;13,53719;VAT_STANDARD;VH;21
2025-10-10;EUR;2025-10-10;Mouserend per glas;4040;121;21,000001;VAT_STANDARD;VH;21
2025-10-10;EUR;2025-10-10;Mouserend per fles;4040;52;9,024793;VAT_STANDARD;VH;21
2025-10-10;EUR;2025-10-10;Menus;4000;1680;138,715592;VAT_REDUCED;VL;9
2025-10-10;EUR;2025-10-10;Lunch;4000;130,5;10,77523;VAT_REDUCED;VL;9
2025-10-10;EUR;2025-10-10;Lekkere Bites;4000;413;34,100914;VAT_REDUCED;VL;9
2025-10-10;EUR;2025-10-10;Koude dranken;4050;36,1;2,980736;VAT_REDUCED;VL;9
2025-10-10;EUR;2025-10-10;events;4080;1;0;VAT_ZERO;;
2025-10-10;EUR;2025-10-10;bieren;4030;14;1,155964;VAT_REDUCED;VL;9
2025-10-10;EUR;2025-10-10;bieren;4030;48,5;8,417354;VAT_STANDARD;VH;21
2025-10-10;EUR;2025-10-10;a la carte;4000;438;36,165138;VAT_REDUCED;VL;9
2025-10-10;EUR;2025-10-10;TIPS_PAYABLE;1803;274,4;0;;;
2025-10-11;EUR;2025-10-11;CARD_RECEIVABLE;2010;-3230,5;0;;;
2025-10-11;EUR;2025-10-11;CASH;1400;-3;0;;;
2025-10-11;EUR;2025-10-11;CASH_DIFFERENCE;6510;9;0;;;
2025-10-11;EUR;2025-10-11;DEPOSITED_CASH_RECEIVABLE;1404;-465;0;;;
2025-10-11;EUR;2025-10-11;ECOM_PAYMENT;1800;70;0;;;
2025-10-11;EUR;2025-10-11;ECOM_PAYMENT_RECEIVABLE;2010;-70;0;;;
2025-10-11;EUR;2025-10-11;PENDING_CASH_EXPENSE;;-3;0;;;
2025-10-11;EUR;2025-10-11;witte wijn per glas;4040;145;25,165289;VAT_STANDARD;VH;21
2025-10-11;EUR;2025-10-11;Witte wijn per fles;4040;168;29,157025;VAT_STANDARD;VH;21
2025-10-11;EUR;2025-10-11;Wijn arrangement;4040;214;37,140494;VAT_STANDARD;VH;21
2025-10-11;EUR;2025-10-11;Warme dranken;4070;83,5;6,894494;VAT_REDUCED;VL;9
2025-10-11;EUR;2025-10-11;rode wijn per glas;4040;112,5;19,524793;VAT_STANDARD;VH;21
2025-10-11;EUR;2025-10-11;Rode wijn per fles;4040;149;25,859504;VAT_STANDARD;VH;21
2025-10-11;EUR;2025-10-11;Mouserend per glas;4040;121;20,999997;VAT_STANDARD;VH;21
2025-10-11;EUR;2025-10-11;Mouserend per fles;4040;85;14,752066;VAT_STANDARD;VH;21
2025-10-11;EUR;2025-10-11;Menus;4000;1580;130,458716;VAT_REDUCED;VL;9
2025-10-11;EUR;2025-10-11;Lunch;4000;167;13,788992;VAT_REDUCED;VL;9
2025-10-11;EUR;2025-10-11;Lekkere Bites;4000;161;13,293576;VAT_REDUCED;VL;9
2025-10-11;EUR;2025-10-11;Koude dranken;4050;27,3;2,25413;VAT_REDUCED;VL;9
2025-10-11;EUR;2025-10-11;Cocktails;4060;20;3,471074;VAT_STANDARD;VH;21
2025-10-11;EUR;2025-10-11;bieren;4030;38,5;6,681815;VAT_STANDARD;VH;21
2025-10-11;EUR;2025-10-11;bieren;4030;27;2,229358;VAT_REDUCED;VL;9
2025-10-11;EUR;2025-10-11;a la carte;4000;419;34,596332;VAT_REDUCED;VL;9
2025-10-11;EUR;2025-10-11;TIPS_PAYABLE;1803;174,7;0;;;
2025-10-12;EUR;2025-10-12;CARD_RECEIVABLE;2010;-1540,7;0;;;
2025-10-12;EUR;2025-10-12;CASH;1400;0,5;0;;;
2025-10-12;EUR;2025-10-12;CASH_DIFFERENCE;6510;8,5;0;;;
2025-10-12;EUR;2025-10-12;DEPOSITED_CASH_RECEIVABLE;1404;-210;0;;;
2025-10-12;EUR;2025-10-12;ECOM_PAYMENT;1800;-150;0;;;
2025-10-12;EUR;2025-10-12;witte wijn per glas;4040;112;19,438013;VAT_STANDARD;VH;21
2025-10-12;EUR;2025-10-12;Witte wijn per fles;4040;33;5,727273;VAT_STANDARD;VH;21
2025-10-12;EUR;2025-10-12;Wijn arrangement;4040;38;6,595041;VAT_STANDARD;VH;21
2025-10-12;EUR;2025-10-12;Warme dranken;4070;49,5;4,087155;VAT_REDUCED;VL;9
2025-10-12;EUR;2025-10-12;Sterk;4060;59;10,239667;VAT_STANDARD;VH;21
2025-10-12;EUR;2025-10-12;rode wijn per glas;4040;28;4,859504;VAT_STANDARD;VH;21
2025-10-12;EUR;2025-10-12;Rode wijn per fles;4040;35;6,07438;VAT_STANDARD;VH;21
2025-10-12;EUR;2025-10-12;Mouserend per glas;4040;11;1,909091;VAT_STANDARD;VH;21
2025-10-12;EUR;2025-10-12;Menus;4000;988;81,57798;VAT_REDUCED;VL;9
2025-10-12;EUR;2025-10-12;Lunch;4000;218;18,000002;VAT_REDUCED;VL;9
2025-10-12;EUR;2025-10-12;Lekkere Bites;4000;75;6,19266;VAT_REDUCED;VL;9
2025-10-12;EUR;2025-10-12;Koude dranken;4050;92,6;7,645876;VAT_REDUCED;VL;9
2025-10-12;EUR;2025-10-12;events;4080;4;0,330275;VAT_REDUCED;VL;9
2025-10-12;EUR;2025-10-12;Cocktails;4060;10;1,735537;VAT_STANDARD;VH;21
2025-10-12;EUR;2025-10-12;bieren;4030;10,5;0,866973;VAT_REDUCED;VL;9
2025-10-12;EUR;2025-10-12;a la carte;4000;40,5;3,344037;VAT_REDUCED;VL;9
2025-10-12;EUR;2025-10-12;TIPS_PAYABLE;1803;87,6;0;;;
2025-10-13;EUR;2025-10-13;CARD_RECEIVABLE;2010;-298,2;0;;;
2025-10-13;EUR;2025-10-13;CASH;1400;3651,72;0;;;
2025-10-13;EUR;2025-10-13;CASH_DIFFERENCE;6510;-5,5;0;;;
2025-10-13;EUR;2025-10-13;PENDING_CASH_EXPENSE;;-10,72;0;;;
2025-10-13;EUR;2025-10-13;Witte wijn per fles;4040;57;9,892562;VAT_STANDARD;VH;21
2025-10-13;EUR;2025-10-13;Warme dranken;4070;24,5;2,022936;VAT_REDUCED;VL;9
2025-10-13;EUR;2025-10-13;Warme dranken;4070;11;1,909091;VAT_STANDARD;VH;21
2025-10-13;EUR;2025-10-13;Menus;4000;16;1,3211;VAT_REDUCED;VL;9
2025-10-13;EUR;2025-10-13;Lunch;4000;91,5;7,555045;VAT_REDUCED;VL;9
2025-10-13;EUR;2025-10-13;Lekkere Bites;4000;69;5,697247;VAT_REDUCED;VL;9
2025-10-13;EUR;2025-10-13;Koude dranken;4050;17,2;1,420185;VAT_REDUCED;VL;9
2025-10-13;EUR;2025-10-13;a la carte;4000;121;9,990827;VAT_REDUCED;VL;9
2025-10-13;EUR;2025-10-13;TIPS_PAYABLE;1803;-3744,5;0;;;
2025-10-16;EUR;2025-10-16;CARD_RECEIVABLE;2010;-3540,9;0;;;
2025-10-16;EUR;2025-10-16;CASH;1400;-20;0;;;
2025-10-16;EUR;2025-10-16;SALES_REVENUE;4080;784;64,733944;VAT_REDUCED;VL;9
2025-10-16;EUR;2025-10-16;witte wijn per glas;4040;65;11,28099;VAT_STANDARD;VH;21
2025-10-16;EUR;2025-10-16;Witte wijn per fles;4040;166;28,809918;VAT_STANDARD;VH;21
2025-10-16;EUR;2025-10-16;Warme dranken;4070;62;5,119265;VAT_REDUCED;VL;9
2025-10-16;EUR;2025-10-16;Warme dranken;4070;11;1,909091;VAT_STANDARD;VH;21
2025-10-16;EUR;2025-10-16;rode wijn per glas;4040;141;24,471072;VAT_STANDARD;VH;21
2025-10-16;EUR;2025-10-16;Rode wijn per fles;4040;254;44,082645;VAT_STANDARD;VH;21
2025-10-16;EUR;2025-10-16;Mouserend per glas;4040;287;49,809917;VAT_STANDARD;VH;21
2025-10-16;EUR;2025-10-16;Menus;4000;104;8,587156;VAT_REDUCED;VL;9
2025-10-16;EUR;2025-10-16;Lunch;4000;112;9,247708;VAT_REDUCED;VL;9
2025-10-16;EUR;2025-10-16;Lekkere Bites;4000;686;56,642196;VAT_REDUCED;VL;9
2025-10-16;EUR;2025-10-16;Koude dranken;4050;60,5;4,995415;VAT_REDUCED;VL;9
2025-10-16;EUR;2025-10-16;bieren;4030;7;0,577982;VAT_REDUCED;VL;9
2025-10-16;EUR;2025-10-16;bieren;4030;5,5;0,954545;VAT_STANDARD;VH;21
2025-10-16;EUR;2025-10-16;a la carte;4000;516,5;42,64679;VAT_REDUCED;VL;9
2025-10-16;EUR;2025-10-16;TIPS_PAYABLE;1803;299,4;0;;;
2025-10-17;EUR;2025-10-17;ACCOUNTS_RECEIVABLE_PENDING;1002;-130;0;;;
2025-10-17;EUR;2025-10-17;CARD_RECEIVABLE;2010;-3136,9;0;;;
2025-10-17;EUR;2025-10-17;CASH;1400;-3642,22;0;;;
2025-10-17;EUR;2025-10-17;CASH_DIFFERENCE;6510;14,22;0;;;
2025-10-17;EUR;2025-10-17;DEPOSITED_CASH_RECEIVABLE;1404;3428;0;;;
2025-10-17;EUR;2025-10-17;GIFTCARD_PENDING;2031;275;0;;;
2025-10-17;EUR;2025-10-17;SALES;2031;0;0;;;
2025-10-17;EUR;2025-10-17;witte wijn per glas;4040;170;29,50413;VAT_STANDARD;VH;21
2025-10-17;EUR;2025-10-17;Witte wijn per fles;4040;236;40,958677;VAT_STANDARD;VH;21
2025-10-17;EUR;2025-10-17;Wijn arrangement;4040;112;19,438016;VAT_STANDARD;VH;21
2025-10-17;EUR;2025-10-17;Warme dranken;4070;87,5;7,224768;VAT_REDUCED;VL;9
2025-10-17;EUR;2025-10-17;Versterkte  wijn per glas;4040;14;2,429752;VAT_STANDARD;VH;21
2025-10-17;EUR;2025-10-17;Sterk;4060;6;1,041322;VAT_STANDARD;VH;21
2025-10-17;EUR;2025-10-17;rode wijn per glas;4040;133;23,082644;VAT_STANDARD;VH;21
2025-10-17;EUR;2025-10-17;Rode wijn per fles;4040;149;25,859505;VAT_STANDARD;VH;21
2025-10-17;EUR;2025-10-17;Mouserend per glas;4040;105;18,223139;VAT_STANDARD;VH;21
2025-10-17;EUR;2025-10-17;Menus;4000;832;68,697248;VAT_REDUCED;VL;9
2025-10-17;EUR;2025-10-17;Lunch;4000;128,37;10,599361;VAT_REDUCED;VL;9
2025-10-17;EUR;2025-10-17;Lekkere Bites;4000;436;35,999997;VAT_REDUCED;VL;9
2025-10-17;EUR;2025-10-17;Koude dranken;4050;41,5;3,426609;VAT_REDUCED;VL;9
2025-10-17;EUR;2025-10-17;bieren;4030;21;1,733946;VAT_REDUCED;VL;9
2025-10-17;EUR;2025-10-17;bieren;4030;22;3,81818;VAT_STANDARD;VH;21
2025-10-17;EUR;2025-10-17;a la carte;4000;475,25;39,240828;VAT_REDUCED;VL;9
2025-10-17;EUR;2025-10-17;TIPS_PAYABLE;1803;223,28;0;;;
2025-10-18;EUR;2025-10-18;CARD_RECEIVABLE;2010;-4929,3;0;;;
2025-10-18;EUR;2025-10-18;CASH;1400;-110,51;0;;;
2025-10-18;EUR;2025-10-18;GIFTCARD_PENDING;2031;175,01;0;;;
2025-10-18;EUR;2025-10-18;SALES;2031;0;0;;;
2025-10-18;EUR;2025-10-18;witte wijn per glas;4040;148;25,685949;VAT_STANDARD;VH;21
2025-10-18;EUR;2025-10-18;Witte wijn per fles;4040;107;18,570249;VAT_STANDARD;VH;21
2025-10-18;EUR;2025-10-18;Wijn arrangement;4040;349;60,570245;VAT_STANDARD;VH;21
2025-10-18;EUR;2025-10-18;Warme dranken;4070;22;3,818182;VAT_STANDARD;VH;21
2025-10-18;EUR;2025-10-18;Warme dranken;4070;258;21,302748;VAT_REDUCED;VL;9
2025-10-18;EUR;2025-10-18;Sterk;4060;15;2,603307;VAT_STANDARD;VH;21
2025-10-18;EUR;2025-10-18;rode wijn per glas;4040;81;14,05785;VAT_STANDARD;VH;21
2025-10-18;EUR;2025-10-18;Rode wijn per fles;4040;105;18,22314;VAT_STANDARD;VH;21
2025-10-18;EUR;2025-10-18;Mouserend per glas;4040;202;35,05785;VAT_STANDARD;VH;21
2025-10-18;EUR;2025-10-18;Menus;4000;2084;172,07339;VAT_REDUCED;VL;9
2025-10-18;EUR;2025-10-18;Lunch;4000;344;28,403668;VAT_REDUCED;VL;9
2025-10-18;EUR;2025-10-18;Lekkere Bites;4000;415;34,26605;VAT_REDUCED;VL;9
2025-10-18;EUR;2025-10-18;Koude dranken;4050;108,9;8,99175;VAT_REDUCED;VL;9
2025-10-18;EUR;2025-10-18;events;4080;12;0,990825;VAT_REDUCED;VL;9
2025-10-18;EUR;2025-10-18;bieren;4030;15,5;1,279817;VAT_REDUCED;VL;9
2025-10-18;EUR;2025-10-18;bieren;4030;39;6,768592;VAT_STANDARD;VH;21
2025-10-18;EUR;2025-10-18;a la carte;4000;280;23,119266;VAT_REDUCED;VL;9
2025-10-18;EUR;2025-10-18;TIPS_PAYABLE;1803;279,4;0;;;
2025-10-19;EUR;2025-10-19;ACCOUNTS_RECEIVABLE_PENDING;1002;-113,11;0;;;
2025-10-19;EUR;2025-10-19;CARD_RECEIVABLE;2010;-2400,39;0;;;
2025-10-19;EUR;2025-10-19;CASH;1400;30,01;0;;;
2025-10-19;EUR;2025-10-19;CASH_DIFFERENCE;6510;-120,01;0;;;
2025-10-19;EUR;2025-10-19;GIFTCARD_PENDING;2031;600;0;;;
2025-10-19;EUR;2025-10-19;SALES;2031;0;0;;;
2025-10-19;EUR;2025-10-19;witte wijn per glas;4040;25;4,338842;VAT_STANDARD;VH;21
2025-10-19;EUR;2025-10-19;Witte wijn per fles;4040;99;17,181819;VAT_STANDARD;VH;21
2025-10-19;EUR;2025-10-19;Warme dranken;4070;105;8,669723;VAT_REDUCED;VL;9
2025-10-19;EUR;2025-10-19;Rose wijn per fles;4040;33;5,727273;VAT_STANDARD;VH;21
2025-10-19;EUR;2025-10-19;rode wijn per glas;4040;42;7,289256;VAT_STANDARD;VH;21
